S/NO,ACCREDITATION NUMBER,NAME OF DRIVING SCHOOL,ADDRESS
1,FRSC/00408/FCT/0029,ACE CENTRE DRIVING CENTRE,"D35 EMAB PLAZA WUSE II, ABUJA"
2,FRSC/00296/FCT/0024,ACCESS DRIVING SCHOOL,FHA NYANYA ALONG KARU ROAD ABUJA.
3,FRSC/00292/FCT/0020,ASETOM DRIVE RIGHT SCHOOL,34 OFEM OBOMA CBN CHODS ESTATE WUMBA DISTRICT APO ABUJA
4,FRSC/00070/FCT/0003,ASO DRIVING SCHOOL,OPP NNPC MEGA STATION ABUJA
5,FRSC/00489/ FCT /0029,BAMAJE DRIVING SCHOOL,"NEPA JUNCTION, OLADIPO DIYA ROAD APO ABUJA."
6,FRSC/00490/ FCT /0030,BEST OPTION DRIVING SCHOOL,"B35 DANZIYAL PLAZA, OPP NNPC MEGA STATION ABUJA"
7,FRSC/00493/ FCT /0033,DAMARSON DRIVING SCHOOL,NO 182 CORNERSHOP NYANYA
8,FRSC/00289/FCT/0017,DIVINE INT. DRIVING SCHOOL,OPP NNPC MEGA STATION  ABUJA
9,FRSC/00494/ FCT /0034,DOKUN DRIVING SCHOOL,OPP NEPA OFFICE KUBWA ABUJA
10,FRSC/00406/FCT/0027,DRIVE RIGHT DRIVING SCHOOL,SUIT 230 ZUZUMBA PLAZA ABUJA
11,FRSC/00798/FCT/0044,EXCEL GLOBAL DRIVING SCHOOL,"NO.1 OROZO SHOPPING COMPLEX STREET, OROZO FCT,ABUJA"
12,FRSC/00790/FCT/0041,FAMOUS DRIVING SCHOOL,TOTO ROAD ABAJI
13,FRSC/00792/FCT/0042,FC DRIVING SCHOOL,BESIDE ONWA PLAZA BY CAR WASH ROAD ZUBA ABUJA
14,FRSC/00069/FCT/0002,FLAME DRIVING SCHOOL,SUIT A42 M113 PLAZA  GWARINPA ABUJA
15,FRSC/00293/FCT/0021,GOD'S GRACE DRIVING SCHOOL,OPP. NEPA OFFICE KARU SITE  FCT
16,FRSC/00695/FCT/0040,HERRITAGE DRIVING SCHOOL, MOB PLAZA BY VIO MABUSHI
17,FRSC/00495/ FCT /0035,HIKE DRIVING SCHOOL,FCDA JUNCION KUBWA
18,FRSC/00794/FCT/0043,HUZEE CAR DRIVING SCHOOL ,"A76/A77 EFAB MALL, AREA 11 GARKI, ABUJA"
19,FRSC/00496/ FCT /0036,JEWEL DRIVING SCHOOL,"LUZUMBA COMMERCIAL PLAZA AREA 10, ABUJA"
20,FRSC/00401/FCT/0026,JOTHARM DRIVING INSTITUTE,"SUITE D 110 EFAB MALL,AREA 11 GARKI ABUJA"
21,FRSC/00497/ FCT /0037,JOY INT DRIVING SCHOOL,"OPP INEC OFFICE AREA 10, GARKI ABUJA"
22,RSC/00786/FCT/0040,KDJ DRIVING SCHOOL,MADAM MERCY ROAD DAGRI G/LADA ABUJA
23,FRSC/00285/FCT/0013,LUCKY STAR DRIVING SCHOOL,OPP DANVILE APO ABUJA
24,FRSC/00072/FCT/0005,MIRACLE DRIVING SCHOOL,"OPPOSITE NANA BASIC ACADEMY MPAPE, FCT, ABUJA"
25,FRSC/00291/FCT/0019,MARTINS INT DRIVING SCHOOL,OPP NEPA AREA 10 ABUJA
26,FRSC/00288/FCT/0016,NATUS DRIVING SCHOOL,OPP UNI ABUJA TEACHING HOSPITAL GWAGWALADA
27,FRSC/00498/ FCT /0038,NEW WORLD DRIVING SCHOOL,"OPP NNPC MEGA STATION, ABUJA"
28,FRSC/00290/FCT/0018,NEWMAN DRIVING SCHOOL,BEHIND NEW CHELSEA HOTEL ABUJA.
29,FRSC/00073/FCT/0006,OLABISI DRIVING SCHOOL,1ST AVENUE BY KADO BIKO GWARINPA
30,FRSC/00499/ FCT /0039,"PIONEER DRIVING SCHOOL,",MALLAM SHEHU PLAZA JABI UPSTAIRS. ABUJA
31,FRSC/00297/FCT/0025,RITI GLOBAL DRIVING SCHOOL,BEHIND CIVIC CENTRE GWAGWALADA ABUJA
32,FRSC/00295/FCT/0023,"SAVE LIFE / EXCELLENCE DRIVING SCHOOL,",OPP JIKOYI POLICE STATION ABUJA
33,FRSC/00078/FCT/0011,STANDARD DRIVING SCHOOL.,OPP OCEANIC BANK 3RD AVENUE GWARINPA ABUJA
34,FRSC/00492/ FCT /0032,"CANNANLAND  DRIVING SCHOOL,","OPP DEFENCE MINISTRY AREA  10, ABUJA"
35,FRSC/00287/FCT/0015,TESSY DRIVING SCHOOL,"OPP DEFENCE MINISTRY AREA  10, ABUJA"
36,FRSC/00294/FCT/0022,WISDOM DRIVING SCHOOL,OPP CUSTOM CLINIC KARU ABUJA.
37,FRSC/00812/FCT/0045,FETAL DRIVING SCHOOL,"DO6 FATAL CLOSE DABO ESTATE LIFE CAMP EXTENSION, ABUJA"
38,FRSC/00824/FCT/0046,I DRIVE SMART DRIVING SCHOOL,"NO 9A RABAT STREET WUSE ZONE 6, ABUJA"
39,FRSC/00829/FCT/0047,AA RESCUE DRIVING SCHOOL,"SUITE 1C ADISA PLAZA, NO.39 DAVID EJOOR CRESENT OPP NNPC FILLING STATION GUDU DISTRICT ABUJA"
40,FRSC/00839/FCT/0048,ARMY HEADQUARTER (AHQ) GARRISON DRIVING SCHOOL,"ARMY HEADQUARTERS GARRISON MOGADISHU CANTONMENT, ABUJA"
41,FRSC/00840/FCT/0049,FB DAMSEL DRIVING SCHOOL,SUITE S19 AMADEN PLAZA MABUSHI FCT ABUJA
42,FRSC/00844/FCT/0050,DON DE BEST DRIVING SCHOOL,OPP. CATHOLIC CHURCH OLD KARMO LLIFE CAMP ABUJA
43,FRSC/00845/FCT/0051,EXECUTIVE DRIVING SCHOOL LIMITED,"GATEWAY PLAZA 208 ZAKAYAH MAIMALARI WAY, CENTRAL BUSINESS AREA, ABUJA"
44,FRSC/00854/FCT/0052,HEPHZIBATH DRIVING SCHOOL,"NO.1&2 WOWO PARK KUJE, ABUJA"
45,FRSC/00860/FCT/0053,STANFORD DRIVERS COLLEGE,"HABIBA CRESCENT, WUSE ZONE 2, ABUJA"
46,FRSC/00897/FCT/0056,MASTER DRIVIN G SCHOOL,"AREA 10, OPP CON OIL ABUJA"
47,FRSC/00945/FCT/0057,RSSP GESCHENK LTD,"SUITE 3, LOZUMBA COMMERCIAL COMPLEX AREA 10, GARKI, ABUJA"
48,FRSC/00957/FCT/0058,KOMON SENSE SCHOOL OF MOTORING,"103 KWAME NKURMA CRESCENT, ASOKOLO"
49,FRSC/00958/FCT/0059,OMENET DRIVING SCHOOL,"SUITE 023 FASHARE PLAZA KUBWA, ABUJA"
50,FRSC/00959/FCT/0060,OSE  DRIVING SCHOOL,"NO.5, 1, 616 JUNCTION BWARI ABUJA"
51,FRSC/010119/FCT/0061,SAMTEN DRIVING SCHOOL,"SHOP 2 BLK A BAKARA PLAZA & GARDEN, ALONG 11 (H) CRESCENT LUGBE FHA, ABUJA"
52,FRSC/01065/FCT/0062,MEDALLION DRIVING ACADEMY,"8TH FLOOR LABOUR HOUSE , CENTRAL BUSINESS DISTRICT, ABUJA FCT"
53,FRSC/01067/FCT/0064,CHIDON DRIVING SCHOOL,"NO7 MANO STREET OF LUKULU STREET, WUSE ZONE 3, ABUJA"
54,FRSC/01066/FCT/0063,AUTOMOBILE ACCREDITED LIMITED,"22 KUMASI CRESCENT, WUSE II, ABUJA"
55,FRSC/01134/FCT/0067,SKY DRIVING SCHOOL ,F9 NYANYAN PLAZA FCT ABUJA
56,FRSC/01133/FCT/0066,ONELIFE BEST DRIVING SCHOOL,"SUITE 202A PLOT 401 DBM PLAZA, NAUOKLHOT STREET ZONE 1, WUSE, ABUJA"
57,FRSC/01132/FCT/0065,BRAVURA DRIVING ACADEMY,"BLOCK B SUITE 20 LANDMARK PLAZA, YEDSERAM ST.MAITAMA, FCT, ABUJA"
58,FRSC/01135/FCT/0068,PEACE AND UNITY DRIVING SCHOOL,"C 10 NADASHI  PLAZA KURUDU BUS STOP FCT, ABUJA"
59,FRSC/01137/FCT/0070,TRIPOD DRIVING SCHOOL  ,SUITE 42 AMAC MARKET
60,FRSC/01138/FCT/0071,BUHARI RAPHAEL ENTERPRISES ,"IDU FOREST, IDU INDUSTRIAL LAYOUT, ABUJA"
